LTKBID,PubChem_CID,LabelCompoundName,ApprovalYear,DILIConcern,SeverityClass,LabelSection,AdjudicatedDILI,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,URL (accessed on 1/21/2016),"VER_DISP (1=LTKB-BD, 2=others)"
LT01537,4114.0,methoxsalen,1954.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ae951dc4-9031-43bf-943c-cb2366951f23,2
LT01560,4205.0,mirtazapine,1996.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8b3c5f72-20eb-4e07-9ddf-f4e6b6dfa795,2
LT01199,148192.0,atazanavir,2003.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=165cff62-b284-4a27-a65d-9ec8a5bfcdd8,2
LT01655,4748.0,perphenazine,1957.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0958af4c-87ef-41fd-90a1-ec3e57146945,2
LT01786,34698.0,teniposide,1992.0,Less-DILI-Concern,3,Warnings and precautions,Yes(literature),vLess-DILI-Concern,,,,,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H]([C@H]7[C@H](O6)COC(O7)C8=CC=CS8)O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3231dc15-5ce2-cf61-7d1f-bd86704269ae,2
LT02224,464205.0,tenofovir,2001.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,C[C@H](CN1C=NC2=C1N=CN=C2N)OCP(=O)(O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e122435e-cd0b-4c90-940a-b7a0d090d866,1
LT00041,2022.0,aciclovir,1982.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1=NC2=C(N1COCCO)NC(=NC2=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f0d8278e-f521-451b-9093-16571eccd284,1
LT00126,6003770.0,olsalazine,1990.0,Less-DILI-Concern,8,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1=CC(=C(C=C1N/N=C\2/C=CC(=O)C(=C2)C(=O)O)C(=O)O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f4858879-0b8b-484a-9742-112c92662e8a,2
LT00165,5734.0,zonisamide,2000.0,Less-DILI-Concern,2,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2b59734e-e070-4847-ae43-350eba867c33,2
LT00207,2585.0,carvedilol,1995.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2ba6d893-ae2a-4535-b904-667d206f93af,2
LT00243,3478.0,glipizide,1984.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=06505b04-656c-47ef-83ba-ab977bdcaaf4,2
LT00263,2187.0,anastrozole,1995.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=03586c40-eb32-45c5-beb7-6762a6b78790,2
LT00302,3488.0,glibenclamide,1984.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2d8fbab4-d7a7-4f4f-bbcc-56e603f72f73,2
LT00315,3033637.0,nizatidine,1988.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CSC(=N1)CN(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cbfb5d8a-a136-4d78-befa-d2cea6661030,1
LT00405,3559.0,haloperidol,1967.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=913fdc2f-36eb-47e1-aaee-7bfb542d3ed3,1
LT00414,4075.0,mesalazine,1950.0,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1=CC(=C(C=C1N)C(=O)O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=70adfac7-f8b7-405c-86aa-b1f30343d38b,2
LT00448,439492.0,tacrolimus,1994.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](C=C(C1)C)CC=C)O)C)C(=C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)O)C)OC)OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=93d03943-0655-44f6-b494-57bd1e336a34,1
LT00450,5426.0,thalidomide,1998.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2eda833b-1357-4ed4-a093-194524fcb061,2
LT00460,25077179.0,triptorelin pamoate,2000.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(=O)N)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CC7=CN=CN7)NC(=O)C8CCC(=O)N8,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a2f71c34-4493-4d58-9c23-f8543babe95f,2
LT00478,6741.0,methylprednisolone,1957.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e5369cef-689e-45bc-b530-405a05838fe5,2
LT00501,2118.0,alprazolam,1981.0,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f0bfdd42-caa1-402d-b040-1ac6082ea10a,2
LT00568,6474909.0,ivermectin,1996.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCC(C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C.C[C@H]1CC[C@]2(C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)O[C@@H]1C(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=681888c9-af79-4b7d-ae80-c3f4f6f1effd,2
LT00606,4679.0,pantoprazole,2000.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=742ca9f4-9fba-44d4-29a8-1fe3a04f1af6,2
LT00612,5755.0,prednisolone,1955.0,Less-DILI-Concern,3,Adverse reactions,Yes(literature),vLess-DILI-Concern,,,,,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f7d51cb7-9015-4062-b306-509d23104195,1
LT00637,5479.0,tinidazole,2004.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f55bcc41-2e8d-4ee5-9993-05c7d86f2d2c,2
LT00825,2315.0,bendroflumethiazide,1959.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3f11df27-710b-4903-a985-74ee4674a844,2
LT00961,,dalteparin sodium,1994.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C(C1C(C(C(C(O1)O)NS(=O)(=O)[O-])O)OC2C(C(C(C(O2)C(=O)[O-])O)O)OS(=O)(=O)[O-])OS(=O)(=O)[O-],http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c5cd4a8e-14c0-440b-b453-9f3d3250c951,2
LT00987,60815.0,remifentanil,1996.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC(=O)OC)C(=O)OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dbc63b6e-f8c5-4fd0-8ec3-4f5e19125313,2
LT00988,5210.0,sibutramine,1997.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c0333e62-bb00-4722-27b6-dca6ab4d1eb1,2
LT01002,65981.0,repaglinide,1997.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d6d6c0df-adbf-46a4-a709-091183a56ec2,2
LT01033,5212.0,sildenafil,1998.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=39a5247d-f173-499d-9e4d-d17cf3dff63e,2
LT00083,15330.0,propoxyphene,1957.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=49c4f24c-648b-2db2-5c00-2835d14b1275,2
LT01085,124087.0,desloratadine,2001.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eb25ecc8-5989-48c7-847e-e51f942a82ff,2
LT01107,2092.0,alfuzosin,2003.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f075a897-7bef-4799-b7e2-7e051c461443,2
LT01113,2284.0,baclofen,1977.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0aac77fa-30c2-46c8-a04d-e6b8333ddd81,2
LT01177,456256.0,cefotaxime,1981.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ed23b6bc-32c7-4c50-a53d-313ae78e5623,2
LT01189,27447.0,cephalexin,1971.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cab0d668-f4a4-4848-ba93-fa2c2246096c,2
LT01190,2678.0,cetirizine,1995.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dd9ae7a8-35dd-4c50-8be6-d06188f4c037,2
LT01198,2712.0,chlordiazepoxide,1960.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e3ff8641-ae8a-4016-acb1-cb1b7890f5ed,2
LT01200,16129629.0,daptomycin,2003.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)NC3C(OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a7975871-46a6-4e9b-a8b5-38bfcb465f0e,2
LT01249,2895.0,cyclobenzaprine,1977.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a88fa950-23d9-49fd-9340-b38a357760bf,2
LT01251,4369359.0,sitagliptin,2006.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f85a48d0-0407-4c50-b0fa-7673a160bf01,2
LT01289,6915944.0,cefdinir,1997.0,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)SC1)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8640931e-317a-42b4-806a-146f00ddf2a6,2
LT01322,436058.0,pegaspargase,1994.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CC1=CC(=C(C=C1)C(=O)C(=C)CN(C)C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d933e1d1-06b7-4d70-981f-3e8984b0683f,2
LT01387,,adalimumab,2002.0,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,,,,,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=608d4f0d-b19f-46d3-749a-7159aa5f933d ,2
LT01394,3393.0,flurazepam,1970.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=576e0a98-996d-425a-be7c-6ab1528539a9,2
LT01398,446987.0,fosfomycin,1996.0,Less-DILI-Concern,6,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C[C@H]1[C@H](O1)P(=O)(O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ad155d62-9b49-4a50-a2ae-d3aad8155936,2
LT01399,55891.0,fosinopril,1991.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3c91edcd-b11a-4289-a1c5-d5054b18f54d,2
LT01426,772.0,heparin sodium,1939.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0d929726-76c3-48fc-b4e7-fd06409f9fb3,2
LT01475,3784.0,isradipine,1990.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c5745462-fab9-4916-acee-1bc6f9e63560,2
LT01589,9579578.0,esomeprazole Sodium,2001.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CC1=CN=C(C(=C1OC)C)C[S@@](=O)C2=NC3=C(N2)C=C(C=C3)OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=61a5a84e-0194-4f11-91f8-83d7ac404932,2
LT01699,4913.0,procainamide,1950.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=17e47845-daad-434c-a784-6d3875b0d704,2
LT01726,5362129.0,ramipril,1991.0,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=245d3580-77c6-4c0f-b324-c8514b792c59,2
LT01514,4046.0,mefloquine,1989.0,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=09716a24-d7da-42b2-af29-c03a1b6670bd,2
LT01828,5484727.0,trandolapril,1996.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCCC[C@@H]3C[C@H]2C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8143a6cf-dadc-4ef7-a8db-d16d7150ad34,2
LT01833,5546.0,triamterene,1964.0,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1=CC=C(C=C1)C2=NC3=C(N=C2N)N=C(N=C3N)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5012f997-9fb2-4c3d-99fd-4f7efd7c39af,2
LT02909,154101.0,dexmethylphenidate,2001.0,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,,,,,COC(=O)[C@@H]([C@H]1CCCCN1)C2=CC=CC=C2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=694ebbf3-966b-4c0d-8d3c-ed95ee0dc8cb ,2
LT00129,4735.0,pentamidine,1984.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cc2b635e-4840-4dc3-a177-5484371680e8,2
LT00279,31101.0,bromocriptine,1978.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=deeea4f0-389e-4b2f-b0a7-60a87feac62a,2
LT00575,3950.0,lomustine,1976.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,C1CCC(CC1)NC(=O)N(CCCl)N=O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=17893de9-7d54-448c-9fca-d10642046d14,2
LT00642,11598201.0,raltegravir,2007.0,Most-DILI-Concern,7,Warnings and precautions,Yes,vMost-DILI-Concern,,,,,CC1=NN=C(O1)C(=O)NC(C)(C)C2=N/C(=C(/NCC3=CC=C(C=C3)F)\O)/C(=O)C(=O)N2C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=89a5ec53-d956-4329-8004-0f40f51c88a3,2
LT01084,5464436.0,gemifloxacin,2003.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,CO/N=C\1/CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=54c4b48b-cad7-4889-808f-f741352a2c97,2
LT01159,20824.0,carbenicillin,1972.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=02010995-9826-4a67-945b-f3022e6081df,2
LT01238,216326.0,lenalidomide,2005.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5fa97bf5-28a2-48f1-8955-f56012d296be,2
LT01348,2761171.0,ethionamide,1965.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,CCC1=NC=CC(=C1)C(=S)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=04a413fe-95f4-47a7-42ac-283a9e78297d,2
LT01804,5453.0,thiotepa,1959.0,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,,,C1CN1P(=S)(N2CC2)N3CC3,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=89a11272-62a6-45d6-9ace-ea55de178dc3,2
LT00264,5029.0,rabeprazole,1999.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCCCOC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=52459f70-e1f5-41bb-a9f4-e68ef5f5dcf5,2
LT00443,6436030.0,sirolimus,1999.0,Less-DILI-Concern,8,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)CC4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3275b824-3f82-4151-2ab2-0036a9ba0acc,2
LT00573,125017.0,desvenlafaxine,2008.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f43610c-f290-46ea-d186-4f998ed99fce,2
LT00600,1549000.0,levocetirizine dihydrochloride,2007.0,Less-DILI-Concern,4,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1CN(CCN1CCOCC(=O)O)[C@H](C2=CC=CC=C2)C3=CC=C(C=C3)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4f43d057-cba8-4366-86ba-4be361e4c71f,2
LT00954,25244225.0,enoxaparin,1993.0,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C([C@@H]1C([C@@H](C(C(O1)O)NS(=O)(=O)[O-])O)O[C@H]2C([C@H](C(C(O2)C(=O)[O-])O)O)OS(=O)(=O)[O-])OS(=O)(=O)[O-],http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3e6bf2b3-9339-4104-bda3-ad86a1949703,2
